Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Hand Detected
17:55:18,62.12,6.3,541.2,0.0,Hand Detected
17:55:19,62.14,6.3,541.2,1.0,Hand Detected
17:55:19,62.15,5.7,541.2,2.0,Hand Detected
17:55:19,62.11,5.7,540.3,1.0,Hand Detected
17:55:19,62.12,5.0,540.3,1.0,Hand Detected
17:55:19,62.14,6.9,540.4,1.0,Hand Detected
17:55:19,62.15,8.0,541.2,1.0,Hand Detected
17:55:20,62.12,5.7,541.2,1.0,Hand Detected
17:55:20,62.13,6.9,540.3,14.0,Hand Detected
17:55:20,62.14,6.9,540.3,0.0,Hand Detected
17:55:20,62.15,0.0,541.2,1.0,Hand Detected
17:55:20,62.17,0.6,541.2,1.0,Hand Detected
17:55:20,62.19,1.2,541.2,1.0,Hand Detected
17:55:21,62.20,1.2,541.2,0.0,Hand Detected
17:55:21,62.21,0.0,541.2,2.0,Hand Detected
17:55:21,62.23,8.7,541.2,2.0,Hand Detected
17:55:21,62.25,6.3,541.2,0.0,Hand Detected
17:55:21,62.26,5.0,541.2,2.0,Hand Detected
17:55:21,62.27,7.5,541.2,0.0,Hand Detected
17:55:21,62.29,6.8,541.2,0.0,Hand Detected
17:55:22,62.29,1.2,541.2,1.0,Hand Detected
17:55:22,62.31,0.6,541.2,1.0,Hand Detected
17:55:22,62.32,1.2,541.2,3.0,Hand Detected
17:55:22,62.33,1.2,541.2,1.0,Hand Detected
17:55:22,62.34,0.0,541.2,1.0,Hand Detected
17:55:22,62.35,1.2,541.2,3.0,Hand Detected
17:55:23,62.36,1.2,541.3,1.0,Hand Detected
17:55:23,62.37,1.2,541.3,1.0,Hand Detected
17:55:23,62.38,2.5,541.3,1.0,Hand Detected
17:55:23,62.39,6.9,541.3,0.0,Hand Detected
17:55:23,62.23,7.1,541.3,0.0,No Hand
17:55:24,62.06,5.8,541.3,1.0,Hand Detected
17:55:24,62.07,6.3,541.3,3.0,Hand Detected
17:55:24,62.08,6.3,541.3,1.0,Hand Detected
17:55:24,62.09,5.6,541.3,0.0,Hand Detected
17:55:24,62.11,6.2,541.3,4.0,Hand Detected
17:55:24,62.11,6.3,540.3,1.0,Hand Detected
17:55:24,62.12,5.7,541.2,1.0,Hand Detected
17:55:25,62.13,4.4,541.3,2.0,Hand Detected
17:55:25,62.14,2.5,541.2,0.0,Hand Detected
17:55:25,62.11,1.7,541.2,1.0,Hand Detected
17:55:25,62.12,0.0,540.4,2.0,Hand Detected
17:55:25,62.14,3.7,541.2,1.0,Hand Detected
17:55:25,62.16,5.6,540.4,3.0,Hand Detected
17:55:26,62.17,8.1,541.2,0.0,Hand Detected
17:55:26,62.18,6.9,540.4,1.0,Hand Detected
17:55:26,62.19,11.2,541.3,2.0,Hand Detected
17:55:26,62.09,5.2,540.4,0.0,Hand Detected
17:55:26,62.10,5.7,541.3,0.0,Hand Detected
17:55:26,62.11,5.6,540.3,2.0,Hand Detected
17:55:27,62.12,6.9,541.2,0.0,Hand Detected
17:55:27,62.13,5.7,541.3,1.0,Hand Detected
17:55:27,62.14,7.5,541.2,1.0,Hand Detected
17:55:27,62.15,9.4,541.3,1.0,Hand Detected
17:55:27,62.16,8.1,541.2,1.0,Hand Detected
17:55:27,62.17,0.0,541.2,1.0,Hand Detected
17:55:27,62.18,0.6,540.4,1.0,Hand Detected
17:55:28,62.18,0.0,541.2,1.0,Hand Detected
17:55:28,62.19,8.8,540.4,3.0,Hand Detected
17:55:28,62.20,6.2,541.3,1.0,Hand Detected
17:55:28,62.20,6.3,540.4,1.0,Hand Detected
17:55:28,62.21,5.6,541.3,2.0,Hand Detected
17:55:28,62.22,6.3,540.4,1.0,Hand Detected
17:55:29,62.23,6.2,541.3,1.0,Hand Detected
17:55:29,62.19,6.3,541.3,0.0,Hand Detected
17:55:29,62.21,6.9,541.3,1.0,Hand Detected
17:55:29,62.22,6.3,541.3,0.0,Hand Detected
